PC Number,Board Name,Board Config,Register Function,Register Name,Register Location,Register_Access_Type,No. of Instances,Instance delimiter,Instance 0,Instance 1,Instance 2,Instance 3,Instance 4
Example,Example Board,FW_MAPS,DSP,CH0,FE_FPGA,R,5,FE_FPGA,,,,,
Example,Example Board,FW_MERLIN,GAIN,CH1,,W,4,FE_FPGA,,,,,
Example,Example Board,MASTER_CRATE,BRD_Control,BE_FPGA,,R/W,1,N/A,,,,,
Example,Example Board,ANY,BRD_Monitoring,TEMP,,SCRATCH,1,N/A,,,,,
Example,Example Board,ANY,FW_Info,FW_Number,,R/W,1,N/A,,,,,
Example,Example Board,ANY,BRD_Info,HW_Version,,R/W,1,N/A,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH0A,BE_FPGA,R/W,4,FE_FPGA,0x00010028,0x00010828,0x00011028,0x00011828,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH0B,BE_FPGA,R/W,4,FE_FPGA,0x0001002c,0x0001082c,0x0001102c,0x0001182c,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH1A,BE_FPGA,R/W,4,FE_FPGA,0x00010030,0x00010830,0x00011030,0x00011830,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH1B,BE_FPGA,R/W,4,FE_FPGA,0x00010034,0x00010834,0x00011034,0x00011834,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH2A,BE_FPGA,R/W,4,FE_FPGA,0x00010038,0x00010838,0x00011038,0x00011838,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH2B,BE_FPGA,R/W,4,FE_FPGA,0x0001003c,0x0001083c,0x0001103c,0x0001183c,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH3A,BE_FPGA,R/W,4,FE_FPGA,0x00010040,0x00010840,0x00011040,0x00011840,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH3B,BE_FPGA,R/W,4,FE_FPGA,0x00010044,0x00010844,0x00011044,0x00011844,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH4A,BE_FPGA,R/W,4,FE_FPGA,0x00010048,0x00010848,0x00011048,0x00011848,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH4B,BE_FPGA,R/W,4,FE_FPGA,0x0001004c,0x0001084c,0x0001104c,0x0001184c,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH5A,BE_FPGA,R/W,4,FE_FPGA,0x00010050,0x00010850,0x00011050,0x00011850,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FPGA-CH5B,BE_FPGA,R/W,4,FE_FPGA,0x00010054,0x00010854,0x00011054,0x00011854,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH0A,BE_FPGA,R/W,4,FE_FPGA,0x000104A0,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH0B,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH1A,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH1B,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH2A,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH2B,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH3A,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH3B,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH4A,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH4B,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH5A,BE_FPGA,R/W,4,FE_FPGA,,,,,
PC3544,Merlin ADC Processor Board,ANY,GAIN,FE_FLASH-CH5B,BE_FPGA,R/W,4,FE_FPGA,,,,,
